Country,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Afghanistan,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Angola,49,49,49,48,48,48,48,48,48,48,48,48,48,47,47,47,47,47,47,47,47,47,47,46,46
Albania,29,29,29,28,28,28,28,28,28,28,28,28,28,29,29,28,28,28,28,28,28,28,28,28,28
Andorra,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
Arab World,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
United Arab Emirates,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5
Argentina,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,10,10,10,10,10,10,10
Armenia,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
American Samoa,92,91,91,91,91,91,91,90,90,90,90,90,90,89,89,89,89,89,89,88,88,88,88,88,88
Antigua and Barbuda,23,23,23,23,23,23,23,23,23,23,23,22,22,22,22,22,22,22,22,22,22,22,22,22,22
Australia,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16
Austria,46,46,46,46,46,46,46,46,46,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47
Azerbaijan,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,12,12,12,13,13,13,13,14,14
Burundi,11,10,10,9,9,9,8,8,8,8,7,7,7,7,8,8,9,9,10,10,10,10,11,11,11
Belgium,,,,,,,,,22,22,22,22,22,22,22,22,22,22,22,23,23,23,23,23,23
Benin,50,49,49,48,47,47,46,46,45,44,44,44,43,43,42,42,41,41,40,40,40,39,39,38,38
Burkina Faso,25,24,24,24,24,23,23,23,23,23,22,22,22,22,22,21,21,21,21,20,20,20,20,20,19
Bangladesh,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Bulgaria,30,30,30,30,30,30,30,30,31,31,32,33,33,34,34,34,34,34,34,35,35,35,35,35,35
Bahrain,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Bahamas, The",51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51
Bosnia and Herzegovina,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43
Belarus,39,39,39,40,40,40,40,41,41,41,41,41,41,42,42,42,42,42,42,42,42,42,42,43,43
Belize,69,69,68,67,67,66,65,65,64,64,63,63,62,62,62,62,61,61,61,61,61,60,60,60,60
Bermuda,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
Bolivia,57,57,57,57,56,56,56,56,55,55,55,55,54,54,54,53,53,52,52,52,51,51,51,51,50
Brazil,65,64,64,64,64,63,63,63,62,62,62,61,61,61,60,60,60,60,60,60,59,59,59,59,59
Barbados,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
