date,Australia,Austria,Bangladesh,Bulgaria,Bahrain,Bhutan,Canada,Switzerland,Chile,China,"Congo, Rep.",Cabo Verde,Costa Rica,Cuba,Czech Republic,Germany,Denmark,Dominican Republic,Spain,Finland,France,United Kingdom,Georgia,Ghana,Greece,Croatia,Hungary,India,Ireland,"Iran, Islamic Rep.",Israel,Italy,Japan,Kenya,"Korea, Rep.",Liechtenstein,Sri Lanka,Lithuania,Latvia,Morocco,Mexico,Myanmar,Montenegro,Mongolia,Malaysia,Namibia,Netherlands,New Zealand,Pakistan,Puerto Rico,"Korea, Dem. People’s Rep.",Portugal,Romania,Russian Federation,Rwanda,Singapore,Serbia,Slovenia,Sweden,Eswatini,Seychelles,Thailand,United States,South Africa,Zimbabwe
1992,17,46,11,30,0,54,38,29,21,17,66,16,49,20,34,32,13,24,29,72,27,12,40,38,26,33,20,22,7,6,6,26,68,8,66,41,36,31,51,11,36,59,47,8,68,10,10,37,3,36,66,37,28,49,13,24,28,59,68,28,88,29,33,8,56
1993,17,46,11,30,0,54,38,29,21,17,66,16,49,20,34,32,13,25,30,72,27,12,40,38,26,33,20,22,7,6,6,27,68,8,66,41,36,31,51,11,36,58,47,8,67,10,10,37,3,38,65,37,28,49,13,24,28,60,68,28,88,29,33,8,55
1994,17,46,11,30,0,64,38,30,21,18,66,17,49,21,34,32,13,26,30,73,27,12,40,38,27,33,21,22,8,6,6,27,68,7,66,42,36,32,51,11,35,57,47,8,67,10,10,37,3,40,64,37,28,49,13,24,28,60,68,29,88,30,33,8,54
1995,17,46,11,30,0,64,38,30,21,18,66,17,48,21,34,32,13,27,31,73,27,12,40,39,27,33,21,22,8,6,7,27,68,7,66,42,36,32,52,11,35,57,47,8,67,10,10,38,3,42,63,37,28,49,13,24,28,60,69,29,88,30,33,8,53
1996,17,46,11,30,0,64,38,30,21,18,66,18,48,21,34,32,13,28,31,73,27,12,40,39,27,33,21,22,8,6,7,27,68,7,66,42,36,32,52,11,35,56,47,8,67,10,10,38,3,43,62,37,28,49,14,24,28,60,69,29,88,31,33,8,52
1997,17,46,11,30,0,65,38,30,21,18,66,19,48,22,34,32,14,28,32,73,27,12,40,39,27,33,21,22,8,6,7,28,68,7,65,42,35,32,52,11,35,55,47,8,66,10,11,38,3,45,61,37,28,49,14,24,28,61,69,29,88,32,33,8,51
1998,17,46,11,30,0,65,38,30,21,18,66,19,47,22,34,33,14,29,33,73,28,12,40,39,27,34,21,22,9,6,7,28,68,7,65,43,35,32,52,11,35,55,47,8,66,10,11,38,3,47,60,37,28,49,14,24,28,61,69,30,88,32,33,8,51
1999,17,46,11,30,1,65,38,30,21,19,66,20,47,22,34,33,14,30,33,74,28,12,40,39,28,34,21,22,9,6,7,28,68,6,65,43,35,32,52,11,35,54,47,8,66,10,11,38,3,49,59,37,28,49,14,24,28,61,69,30,88,33,33,8,50
2000,17,46,11,31,1,65,38,30,21,19,66,20,47,23,34,33,14,31,34,74,28,12,40,39,28,34,21,22,9,6,7,28,68,6,65,43,35,32,52,11,35,53,47,8,66,10,11,39,3,51,58,37,28,49,14,24,28,61,69,30,88,33,33,8,49
2001,17,47,11,31,1,66,38,30,21,19,66,20,47,23,34,33,14,31,34,73,28,12,40,39,28,34,22,22,9,6,7,29,68,6,65,43,35,33,52,11,35,53,47,7,65,10,11,39,3,51,57,36,28,49,14,24,28,61,69,30,88,33,33,8,48
