Country,2016_total_area,2010_Urban_area,urban_area_per
Barbados,430,420.3754272,97.76172726
San Marino,60,57.78162003,96.30270005
Monaco,2,1.920578122,96.0289061
Aruba,180,172.8477478,96.02652656
Puerto Rico,8870,8511.401367,95.95717437
Guam,540,515.956604,95.54751926
Malta,320,293.3409119,91.66903497
St. Kitts and Nevis,260,230.6646423,88.71717012
Virgin Islands (U.S.),350,302.0132141,86.28948974
"Hong Kong SAR, China",1050,901.5428467,85.8612235
Singapore,709.0000153,565.5597534,79.7686518
Bermuda,54.00000095,38.61519241,71.50961431
Bahrain,778.0000305,549.2779541,70.60127668
Cayman Islands,240,160.9671021,67.06962588
Mauritius,2030,1276.015869,62.85792458
Antigua and Barbuda,440,266.2775574,60.51762668
"Macao SAR, China",30.39999962,17.72437096,58.30385257
American Samoa,200,116.1668701,58.08343505
St. Lucia,610,351.2103882,57.57547348
Grenada,340,169.5156097,49.85753226
Trinidad and Tobago,5130,2286.748047,44.57598532
Isle of Man,570,241.8645325,42.43237412
West Bank and Gaza,6020,2496.458252,41.46940618
Belgium,30280,12349.22852,40.78344954
Netherlands,33690,12802.99316,38.00235429
"Micronesia, Fed. Sts.",700,243.1120605,34.73029436
Dominica,750,251.302948,33.50705973
Luxembourg,2430,801.083374,32.96639399
Japan,364560,108678.2422,29.81079718
Israel,21640,6399.019531,29.57033055
St. Vincent and the Grenadines,390,111.6811523,28.6361929
Jamaica,10830,3000.631592,27.7066629
Seychelles,460,122.5104828,26.63271365
Tonga,720,181.8270264,25.25375367
Italy,294140,73540.88281,25.002
Cyprus,9240,2280.400391,24.67965791
United Kingdom,241930,58698.75,24.26269995
Faroe Islands,1396.000061,335.4758301,24.03121887
Northern Mariana Islands,460,108.512558,23.58968652
Lebanon,10230,2317.423828,22.65321435
"Korea, Rep.",97489.00391,21922.01563,22.48665465
Denmark,41990,9295.174805,22.13663921
Kuwait,17820,3942.298828,22.12288905
Switzerland,39516.00098,7898.148926,19.98721715
Brunei Darussalam,5270,1017.068604,19.2992145
Germany,349360,62374.19922,17.85384681
El Salvador,20720,3598.269287,17.36616451
France,547556.9922,86463.0625,15.79069645
Greece,128900,18519.16406,14.3670784
Spain,499563.9844,69794.58594,13.97110042
Portugal,91605.5957,12764.67676,13.93438541
Qatar,11610,1495.149292,12.87811621
Slovenia,20141.99951,2509.15625,12.45733448
United Arab Emirates,71020,8568.158203,12.06443002
North Macedonia,25220,2667.351074,10.57633257
Comoros,1861.000061,196.407196,10.55385221
Dominican Republic,48310,5089.375977,10.53482918
Poland,306190,30501.3418,9.961573467
Fiji,18270,1746.58667,9.559861357
Croatia,55960,5302.795898,9.476046994
Cuba,104020,9572.447266,9.202506505
United States,9147420,802053.5923,8.768085343
Bangladesh,130170,11125.3916,8.546816932
Ireland,68890,5638.355957,8.184578251
Costa Rica,51060,4051.562988,7.934905969
Moldova,32890,2607.522217,7.928009173
Sweden,407310,31152.32031,7.648307262
India,2973190,222688.2344,7.489875669
Lithuania,62642.00195,4610.856445,7.360646693
Thailand,510890,36597.01563,7.163384609
Sao Tome and Principe,960,68.23683167,7.108003299
Romania,230080,15594.78906,6.777985509
Palau,460,30.74201965,6.68304775
Finland,303910,20052.17383,6.598063186
Syrian Arab Republic,183630,11955.19727,6.51048155
French Polynesia,3660,238.1499786,6.506830016
Sri Lanka,62710,4016.146484,6.404315873
Tunisia,155360,9897.881836,6.370933211
Albania,27400,1689.403809,6.165707332
Bulgaria,108560,6678.94043,6.15230327
Estonia,43470,2614.681396,6.014910044
South Asia,4771603.999,273701.7139,5.736052572
Turkey,769630,44090.15625,5.728747093
Norway,365123.0078,20282.20508,5.554896472
Ukraine,579290,32160.1582,5.551650848
Latvia,62180,3278.516846,5.272622782
Mexico,1943950,102418.1094,5.268556774
